model,day_abs,day_order,period,origin_zone_id,dest_zone_id,y_sum
obs,7,7,morning,162,100,29
obs,7,7,morning,162,161,74
obs,7,7,morning,162,162,83
obs,7,7,morning,162,163,40
obs,7,7,morning,162,186,52
obs,7,7,morning,162,230,74
obs,7,7,morning,163,100,30
obs,7,7,morning,163,161,77
obs,7,7,morning,163,162,46
obs,7,7,morning,163,163,25
obs,7,7,morning,163,186,37
obs,7,7,morning,163,230,61
obs,7,7,morning,186,100,12
obs,7,7,morning,186,161,41
obs,7,7,morning,186,162,41
obs,7,7,morning,186,163,25
obs,7,7,morning,186,186,34
obs,7,7,morning,186,230,93
obs,7,7,morning,230,100,50
obs,7,7,morning,230,161,79
obs,7,7,morning,230,162,67
obs,7,7,morning,230,163,61
obs,7,7,morning,230,186,115
obs,7,7,morning,230,230,108
obs,7,7,night,100,100,7
obs,7,7,night,100,161,31
obs,7,7,night,100,162,18
obs,7,7,night,100,163,30
obs,7,7,night,100,186,11
obs,7,7,night,100,230,23
obs,7,7,night,161,100,38
obs,7,7,night,161,161,79
obs,7,7,night,161,162,62
obs,7,7,night,161,163,49
obs,7,7,night,161,186,66
obs,7,7,night,161,230,49
obs,7,7,night,162,100,20
obs,7,7,night,162,161,64
obs,7,7,night,162,162,36
obs,7,7,night,162,163,31
obs,7,7,night,162,186,42
obs,7,7,night,162,230,44
obs,7,7,night,163,100,27
obs,7,7,night,163,161,54
obs,7,7,night,163,162,32
obs,7,7,night,163,163,19
obs,7,7,night,163,186,28
obs,7,7,night,163,230,25
obs,7,7,night,186,100,21
obs,7,7,night,186,161,81
obs,7,7,night,186,162,46
obs,7,7,night,186,163,40
obs,7,7,night,186,186,16
obs,7,7,night,186,230,102
obs,7,7,night,230,100,24
obs,7,7,night,230,161,32
obs,7,7,night,230,162,32
obs,7,7,night,230,163,29
obs,7,7,night,230,186,40
obs,7,7,night,230,230,26
obs,8,8,afternoon,100,100,7
obs,8,8,afternoon,100,161,65
obs,8,8,afternoon,100,162,21
obs,8,8,afternoon,100,163,35
obs,8,8,afternoon,100,186,10
obs,8,8,afternoon,100,230,33
obs,8,8,afternoon,161,100,13
obs,8,8,afternoon,161,161,43
obs,8,8,afternoon,161,162,24
obs,8,8,afternoon,161,163,39
obs,8,8,afternoon,161,186,20
obs,8,8,afternoon,161,230,25
obs,8,8,afternoon,162,100,24
obs,8,8,afternoon,162,161,41
obs,8,8,afternoon,162,162,39
obs,8,8,afternoon,162,163,28
obs,8,8,afternoon,162,186,32
obs,8,8,afternoon,162,230,20
obs,8,8,afternoon,163,100,11
obs,8,8,afternoon,163,161,35
obs,8,8,afternoon,163,162,21
obs,8,8,afternoon,163,163,16
obs,8,8,afternoon,163,186,9
obs,8,8,afternoon,163,230,9
obs,8,8,afternoon,186,100,33
